cpt_code,site_active_cpt,present_in_cms_rvu26c,cms_status_indicator,payment_status,site_specialty,site_descriptor,cms_descriptor,site_work_rvu,cms_work_rvu,site_total_rvu,cms_total_rvu,appears_in_search,appears_in_case_builder,classification,risk_score,recommended_remediation
47136,Yes,No,ABSENT,No row in CMS RVU26C baseline,gastroenterology,Liver allotransplantation heterotopic partial or whole from cadaver or living donor any age any method,,52.34,,0,,Yes,Yes,dataset defect,170.34,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
57112,Yes,No,ABSENT,No row in CMS RVU26C baseline,obgyn,Exenteration of vagina; complete,,35.4,,0,,Yes,Yes,dataset defect,153.4,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
34802,Yes,No,ABSENT,No row in CMS RVU26C baseline,vascular,"Endovascular AAA repair, aorto-bi-iliac graft",,27.54,,0,,Yes,Yes,dataset defect,145.54,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
34800,Yes,No,ABSENT,No row in CMS RVU26C baseline,vascular,"Endovascular AAA repair, aorto-aortic tube graft",,25,,0,,Yes,Yes,dataset defect,143.0,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
47802,Yes,No,ABSENT,No row in CMS RVU26C baseline,gastroenterology,U-tube hepaticoenterostomy,,24.56,,0,,Yes,Yes,dataset defect,142.56,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49654,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Laparoscopy, surgical; repair ventral hernia >10 cm",,22.85,,0,,Yes,Yes,dataset defect,140.85,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
27445,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,Arthroplasty knee hinge prosthesis,,20.89,,0,,Yes,Yes,dataset defect,138.89,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
19272,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Excision of chest wall tumor, including ribs, with mesh/prosthesis",,20.42,,0,,Yes,Yes,dataset defect,138.42,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49653,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Laparoscopy, surgical; repair ventral hernia 3-10 cm",,20.28,,0,,Yes,Yes,dataset defect,138.28,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
43324,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Esophagogastric fundoplasty (eg, Nissen, Belsey IV, Hill procedures)",,19.06,,0,,Yes,Yes,dataset defect,137.06,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
19271,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Excision of chest wall tumor including ribs, with reconstruction",,18.55,,0,,Yes,Yes,dataset defect,136.55,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49203,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Excision or destruction, open, intra-abdominal tumors, cysts or endometriomas, 1 or more peritoneal, mesenteric, or retroperitoneal primary or secondary tumors; largest tumor 5 cm diameter or less",,16.76,,0,,Yes,Yes,dataset defect,134.76,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49657,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Laparoscopy, repair recurrent ventral hernia; 3-10 cm or larger",,16,,0,,Yes,Yes,dataset defect,134.0,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
27468,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,Lengthening of long bone tibia,,15.67,,0,,Yes,Yes,dataset defect,133.67,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
32020,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Thoracotomy, with or without pleural biopsy",,12.85,,0,,Yes,Yes,dataset defect,130.85,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
26261,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,Radical resection proximal or middle phalanx with autograft,,12.78,,0,,Yes,Yes,dataset defect,130.78,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
37229,Yes,No,ABSENT,No row in CMS RVU26C baseline,vascular,"Revascularization, tibial/peroneal, atherectomy",,12.64,,0,,Yes,Yes,dataset defect,130.64,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
19260,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,Excision of chest wall tumor including ribs,,12.53,,0,,Yes,Yes,dataset defect,130.53,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49656,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Laparoscopy, repair recurrent ventral hernia; <3 cm",,12.5,,0,,Yes,Yes,dataset defect,130.5,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
52647,Yes,No,ABSENT,No row in CMS RVU26C baseline,urology,Laser vaporization of prostate including control of postoperative bleeding with coagulation,,10.89,,0,,Yes,Yes,dataset defect,128.89,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
