cpt_code,descriptor,current_work_rvu,current_total_rvu,current_payment_estimate,source_label,first_commit,first_commit_date,first_commit_message,active_cms_rvu26c_row_present,likely_source,classification,site_specialty,appears_in_search,appears_in_case_builder,general_surgery_record,trauma_acs_relevant,priority_proxy_score
15732,"Muscle/myocutaneous flap, head and neck",18.86,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,requires specialty review,plastic_surgery,Yes,Yes,No,No,98.86
19260,Excision of chest wall tumor including ribs,12.53,0,0.0,none stored,da31a1adeb860a57acde7ceb319cbf3e3c4cd072,2026-04-05,Phase 2: Validation engine + 110 case test suite (107/110 passing),No,unknown,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,102.53
19271,"Excision of chest wall tumor including ribs, with reconstruction",18.55,0,0.0,none stored,da31a1adeb860a57acde7ceb319cbf3e3c4cd072,2026-04-05,Phase 2: Validation engine + 110 case test suite (107/110 passing),No,unknown,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,108.55
19272,"Excision of chest wall tumor, including ribs, with mesh/prosthesis",20.42,0,0.0,none stored,da31a1adeb860a57acde7ceb319cbf3e3c4cd072,2026-04-05,Phase 2: Validation engine + 110 case test suite (107/110 passing),No,unknown,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,110.42
19304,"Mastectomy, subcutaneous",8.95,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,98.95
20926,"Tissue grafts other; fat, dermis, fascia",3.45,0,0,abos_hand_source_url: https://ebhmc.com/cptabos/,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,orthopedic_surgery,Yes,Yes,No,No,78.45
22851,Application of intervertebral biomechanical device to vertebral defect,6.78,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,orthopedic_surgery,Yes,Yes,No,No,81.78
26261,Radical resection proximal or middle phalanx with autograft,12.78,0,0,abos_hand_source_url: https://ebhmc.com/cptabos/,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,orthopedic_surgery,Yes,Yes,No,No,87.78
27194,Closed tx pelvic ring fx; with manipulation,6.55,0,0.0,none stored,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627",No,specialty import,should be re-imported from authoritative source,orthopedics,Yes,Yes,No,No,81.55
27445,Arthroplasty knee hinge prosthesis,20.89,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,orthopedic_surgery,Yes,Yes,No,No,95.89
27468,Lengthening of long bone tibia,15.67,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,orthopedic_surgery,Yes,Yes,No,No,90.67
28440,Closed tx tarsal bone fx (excl talus/calcaneus); without manipulation,2.15,0,0.0,none stored,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627",No,specialty import,should be re-imported from authoritative source,orthopedics,Yes,Yes,No,No,77.15
29020,Application of turnbuckle jacket body cast,5.89,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,orthopedic_surgery,Yes,Yes,No,No,80.89
29025,"Application of body cast, shoulder to hips, Minerva type",3.55,0,0.0,none stored,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627",No,specialty import,should be re-imported from authoritative source,orthopedics,Yes,Yes,No,No,78.55
29582,Application of multi-layer compression; thigh and leg,1.05,0,0.0,none stored,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627",No,specialty import,should be re-imported from authoritative source,orthopedics,Yes,Yes,No,No,76.05
29583,Application of multi-layer compression; upper arm and forearm,0.85,0,0.0,none stored,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627",No,specialty import,should be re-imported from authoritative source,orthopedics,Yes,Yes,No,No,75.85
29715,Removal or bivalving of turnbuckle jacket body cast,1.56,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,orthopedic_surgery,Yes,Yes,No,No,76.56
32020,"Thoracotomy, with or without pleural biopsy",12.85,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,102.85
32602,"Thoracoscopy, with biopsy",5.3,0,0.0,none stored,da31a1adeb860a57acde7ceb319cbf3e3c4cd072,2026-04-05,Phase 2: Validation engine + 110 case test suite (107/110 passing),No,unknown,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,95.3
34800,"Endovascular AAA repair, aorto-aortic tube graft",25,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,115.0
34802,"Endovascular AAA repair, aorto-bi-iliac graft",27.54,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,117.54
35450,"Transluminal balloon angioplasty, renal or visceral artery",9.84,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,99.84
37220,Iliac artery angioplasty,7.16,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,97.16
37221,Iliac artery stent placement,8.72,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,98.72
37224,Femoral/popliteal angioplasty,7.16,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,97.16
37226,Femoral/popliteal stent placement,8.72,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,98.72
37229,"Revascularization, tibial/peroneal, atherectomy",12.64,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,102.64
39400,"Mediastinoscopy; includes biopsy(ies), when performed",5.85,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,requires specialty review,cardiothoracic_surgery,Yes,Yes,No,Yes,95.85
43324,"Esophagogastric fundoplasty (eg, Nissen, Belsey IV, Hill procedures)",19.06,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,109.06
47136,Liver allotransplantation heterotopic partial or whole from cadaver or living donor any age any method,52.34,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,gastroenterology,Yes,Yes,No,No,142.34
47505,Injection procedure for cholangiography through an existing catheter,1.23,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,gastroenterology,Yes,Yes,No,No,91.23
47510,"Percutaneous biliary drainage, external",5.5,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,95.5
47525,Change of percutaneous biliary drainage catheter,2.34,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,gastroenterology,Yes,Yes,No,Yes,92.34
47530,Revision and/or reinsertion of transhepatic tube,3.56,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,gastroenterology,Yes,Yes,No,No,93.56
47560,Laparoscopy surgical with guided transhepatic cholangiography without biopsy,5.89,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,gastroenterology,Yes,Yes,No,Yes,95.89
47561,Laparoscopy surgical with guided transhepatic cholangiography with biopsy,6.78,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,gastroenterology,Yes,Yes,No,Yes,96.78
47802,U-tube hepaticoenterostomy,24.56,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,gastroenterology,Yes,Yes,No,Yes,114.56
49203,"Excision or destruction, open, intra-abdominal tumors, cysts or endometriomas, 1 or more peritoneal, mesenteric, or retroperitoneal primary or secondary tumors; largest tumor 5 cm diameter or less",16.76,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,106.76
49566,Repair recurrent incisional or ventral hernia; incarcerated or strangulated (legacy/deleted 2023),15.53,0,0.0,wrvu_source: CMS PFS RVU22D October 2022; code deleted/replaced by 2023 anterior abdominal hernia family,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,hernia_repair,Yes,Yes,Yes,Yes,85.53
49568,Implantation of mesh or other prosthesis for open incisional or ventral hernia repair (add-on),4.88,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,hernia_repair,Yes,Yes,Yes,Yes,74.88
49580,"Repair umbilical hernia, younger than age 5 years; reducible",2.46,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,hernia_repair,Yes,Yes,Yes,Yes,72.46
49582,"Umbilical hernia repair, <5 years, incarcerated",5.58,0,0.0,none stored,da31a1adeb860a57acde7ceb319cbf3e3c4cd072,2026-04-05,Phase 2: Validation engine + 110 case test suite (107/110 passing),No,unknown,should be inactive/deleted,general_surgery,Yes,Yes,Yes,Yes,85.58
49585,"Repair umbilical hernia, age 5 years or older; reducible",4.8,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,hernia_repair,Yes,Yes,Yes,Yes,74.8
