cpt_code,descriptor,current_work_rvu,current_total_rvu,current_payment_estimate,source_label,first_commit,first_commit_date,first_commit_message,active_cms_rvu26c_row_present,likely_source,classification,site_specialty,appears_in_search,appears_in_case_builder,general_surgery_record,trauma_acs_relevant,priority_proxy_score
47136,Liver allotransplantation heterotopic partial or whole from cadaver or living donor any age any method,52.34,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,gastroenterology,Yes,Yes,No,No,142.34
57112,Exenteration of vagina; complete,35.4,0,0.0,none stored,99200a283ebf0e2a87bff1ea1cf6f3192f9c8a60,2026-04-24,Import 50 additional operative OB/GYN CPT codes,No,unknown,requires specialty review,obgyn,Yes,Yes,No,No,125.4
34802,"Endovascular AAA repair, aorto-bi-iliac graft",27.54,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,117.54
34800,"Endovascular AAA repair, aorto-aortic tube graft",25,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,115.0
47802,U-tube hepaticoenterostomy,24.56,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,gastroenterology,Yes,Yes,No,Yes,114.56
19272,"Excision of chest wall tumor, including ribs, with mesh/prosthesis",20.42,0,0.0,none stored,da31a1adeb860a57acde7ceb319cbf3e3c4cd072,2026-04-05,Phase 2: Validation engine + 110 case test suite (107/110 passing),No,unknown,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,110.42
43324,"Esophagogastric fundoplasty (eg, Nissen, Belsey IV, Hill procedures)",19.06,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,109.06
19271,"Excision of chest wall tumor including ribs, with reconstruction",18.55,0,0.0,none stored,da31a1adeb860a57acde7ceb319cbf3e3c4cd072,2026-04-05,Phase 2: Validation engine + 110 case test suite (107/110 passing),No,unknown,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,108.55
49203,"Excision or destruction, open, intra-abdominal tumors, cysts or endometriomas, 1 or more peritoneal, mesenteric, or retroperitoneal primary or secondary tumors; largest tumor 5 cm diameter or less",16.76,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,106.76
32020,"Thoracotomy, with or without pleural biopsy",12.85,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,102.85
