cpt_code,site_active_cpt,present_in_cms_rvu26c,cms_status_indicator,payment_status,site_specialty,site_descriptor,cms_descriptor,site_work_rvu,cms_work_rvu,site_total_rvu,cms_total_rvu,appears_in_search,appears_in_case_builder,classification,risk_score,recommended_remediation
00100,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for procedures on salivary glands,Anes px salivary gland w/bx,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00120,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for procedures on external ear,Anes px ear w/bx nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00140,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for procedures on eye,Anes procedures on eye nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00142,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for lens surgery,Anes px on eye lens surgery,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00160,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for procedures on nose and sinuses,Anes px nose&sinus nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00170,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for intraoral procedures,Anes intraoral px nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00190,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for procedures on facial bones,Anes px facial b1/skull nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00300,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for procedures on head,Anes all px integ h/n/ptrunk,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00320,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for procedures on major vessels of neck,Anes all px neck nos 1yr/>,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00400,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,"Anesthesia for procedures on integumentary system, anterior trunk",Anes integumentary sys nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
